号ID,政紫亀,刊旋政紫亀,液去刊旋政紫亀,刊旋政紫亀 搾晴,液去刊旋政紫亀 搾晴,,走艦域呪
号20 ,2,2,2.766666667,0.004016064,0.005555556,,0.137433713
号21 ,2,4,5.533333333,0.008032129,0.011111111,,
号23 ,2,6,8.3,0.012048193,0.016666667,,
号24 ,2,8,11.06666667,0.016064257,0.022222222,,
号29 ,2,10,13.83333333,0.020080321,0.027777778,,
号30 ,2,12,16.6,0.024096386,0.033333333,,
号32 ,2,14,19.36666667,0.02811245,0.038888889,,
号33 ,2,16,22.13333333,0.032128514,0.044444444,,
号38 ,2,18,24.9,0.036144578,0.05,,
号39 ,2,20,27.66666667,0.040160643,0.055555556,,
号41 ,2,22,30.43333333,0.044176707,0.061111111,,
号42 ,2,24,33.2,0.048192771,0.066666667,,
号47 ,2,26,35.96666667,0.052208835,0.072222222,,
号48 ,2,28,38.73333333,0.0562249,0.077777778,,
号50 ,2,30,41.5,0.060240964,0.083333333,,
号51 ,2,32,44.26666667,0.064257028,0.088888889,,
号56 ,2,34,47.03333333,0.068273092,0.094444444,,
号57 ,2,36,49.8,0.072289157,0.1,,
号59 ,2,38,52.56666667,0.076305221,0.105555556,,
号60 ,2,40,55.33333333,0.080321285,0.111111111,,
号65 ,2,42,58.1,0.084337349,0.116666667,,
号66 ,2,44,60.86666667,0.088353414,0.122222222,,
号68 ,2,46,63.63333333,0.092369478,0.127777778,,
号69 ,2,48,66.4,0.096385542,0.133333333,,
号74 ,2,50,69.16666667,0.100401606,0.138888889,,
号75 ,2,52,71.93333333,0.104417671,0.144444444,,
号77 ,2,54,74.7,0.108433735,0.15,,
号78 ,2,56,77.46666667,0.112449799,0.155555556,,
号83 ,2,58,80.23333333,0.116465863,0.161111111,,
号84 ,2,60,83,0.120481928,0.166666667,,
号86 ,2,62,85.76666667,0.124497992,0.172222222,,
号87 ,2,64,88.53333333,0.128514056,0.177777778,,
号92 ,2,66,91.3,0.13253012,0.183333333,,
号93 ,2,68,94.06666667,0.136546185,0.188888889,,
号95 ,2,70,96.83333333,0.140562249,0.194444444,,
号96 ,2,72,99.6,0.144578313,0.2,,
号101 ,2,74,102.3666667,0.148594378,0.205555556,,
号102 ,2,76,105.1333333,0.152610442,0.211111111,,
号104 ,2,78,107.9,0.156626506,0.216666667,,
号105 ,2,80,110.6666667,0.16064257,0.222222222,,
号110 ,2,82,113.4333333,0.164658635,0.227777778,,
号111 ,2,84,116.2,0.168674699,0.233333333,,
号113 ,2,86,118.9666667,0.172690763,0.238888889,,
号114 ,2,88,121.7333333,0.176706827,0.244444444,,
号119 ,2,90,124.5,0.180722892,0.25,,
号120 ,2,92,127.2666667,0.184738956,0.255555556,,
号122 ,2,94,130.0333333,0.18875502,0.261111111,,
号123 ,2,96,132.8,0.192771084,0.266666667,,
号128 ,2,98,135.5666667,0.196787149,0.272222222,,
号129 ,2,100,138.3333333,0.200803213,0.277777778,,
号131 ,2,102,141.1,0.204819277,0.283333333,,
号132 ,2,104,143.8666667,0.208835341,0.288888889,,
号137 ,2,106,146.6333333,0.212851406,0.294444444,,
号138 ,2,108,149.4,0.21686747,0.3,,
号140 ,2,110,152.1666667,0.220883534,0.305555556,,
号141 ,2,112,154.9333333,0.224899598,0.311111111,,
号146 ,2,114,157.7,0.228915663,0.316666667,,
号147 ,2,116,160.4666667,0.232931727,0.322222222,,
号149 ,2,118,163.2333333,0.236947791,0.327777778,,
号150 ,2,120,166,0.240963855,0.333333333,,
号155 ,2,122,168.7666667,0.24497992,0.338888889,,
号156 ,2,124,171.5333333,0.248995984,0.344444444,,
号158 ,2,126,174.3,0.253012048,0.35,,
号159 ,2,128,177.0666667,0.257028112,0.355555556,,
号164 ,2,130,179.8333333,0.261044177,0.361111111,,
号165 ,2,132,182.6,0.265060241,0.366666667,,
号167 ,2,134,185.3666667,0.269076305,0.372222222,,
号168 ,2,136,188.1333333,0.273092369,0.377777778,,
号173 ,2,138,190.9,0.277108434,0.383333333,,
号174 ,2,140,193.6666667,0.281124498,0.388888889,,
号176 ,2,142,196.4333333,0.285140562,0.394444444,,
号177 ,2,144,199.2,0.289156627,0.4,,
号2 ,3,147,201.9666667,0.295180723,0.405555556,,
号3 ,3,150,204.7333333,0.301204819,0.411111111,,
号5 ,3,153,207.5,0.307228916,0.416666667,,
号6 ,3,156,210.2666667,0.313253012,0.422222222,,
号11 ,3,159,213.0333333,0.319277108,0.427777778,,
号12 ,3,162,215.8,0.325301205,0.433333333,,
号14 ,3,165,218.5666667,0.331325301,0.438888889,,
号15 ,3,168,221.3333333,0.337349398,0.444444444,,
号19 ,3,171,224.1,0.343373494,0.45,,
号22 ,3,174,226.8666667,0.34939759,0.455555556,,
号26 ,3,177,229.6333333,0.355421687,0.461111111,,
号27 ,3,180,232.4,0.361445783,0.466666667,,
号28 ,3,183,235.1666667,0.36746988,0.472222222,,
号31 ,3,186,237.9333333,0.373493976,0.477777778,,
号35 ,3,189,240.7,0.379518072,0.483333333,,
号36 ,3,192,243.4666667,0.385542169,0.488888889,,
号37 ,3,195,246.2333333,0.391566265,0.494444444,,
号40 ,3,198,249,0.397590361,0.5,,
号44 ,3,201,251.7666667,0.403614458,0.505555556,,
号45 ,3,204,254.5333333,0.409638554,0.511111111,,
号46 ,3,207,257.3,0.415662651,0.516666667,,
号49 ,3,210,260.0666667,0.421686747,0.522222222,,
号53 ,3,213,262.8333333,0.427710843,0.527777778,,
号54 ,3,216,265.6,0.43373494,0.533333333,,
号55 ,3,219,268.3666667,0.439759036,0.538888889,,
号58 ,3,222,271.1333333,0.445783133,0.544444444,,
号62 ,3,225,273.9,0.451807229,0.55,,
号63 ,3,228,276.6666667,0.457831325,0.555555556,,
号64 ,3,231,279.4333333,0.463855422,0.561111111,,
号67 ,3,234,282.2,0.469879518,0.566666667,,
号71 ,3,237,284.9666667,0.475903614,0.572222222,,
号72 ,3,240,287.7333333,0.481927711,0.577777778,,
号73 ,3,243,290.5,0.487951807,0.583333333,,
号76 ,3,246,293.2666667,0.493975904,0.588888889,,
号80 ,3,249,296.0333333,0.5,0.594444444,,
号81 ,3,252,298.8,0.506024096,0.6,,
号82 ,3,255,301.5666667,0.512048193,0.605555556,,
号85 ,3,258,304.3333333,0.518072289,0.611111111,,
号89 ,3,261,307.1,0.524096386,0.616666667,,
号90 ,3,264,309.8666667,0.530120482,0.622222222,,
号91 ,3,267,312.6333333,0.536144578,0.627777778,,
号94 ,3,270,315.4,0.542168675,0.633333333,,
号98 ,3,273,318.1666667,0.548192771,0.638888889,,
号99 ,3,276,320.9333333,0.554216867,0.644444444,,
号100 ,3,279,323.7,0.560240964,0.65,,
号103 ,3,282,326.4666667,0.56626506,0.655555556,,
号107 ,3,285,329.2333333,0.572289157,0.661111111,,
号108 ,3,288,332,0.578313253,0.666666667,,
号109 ,3,291,334.7666667,0.584337349,0.672222222,,
号112 ,3,294,337.5333333,0.590361446,0.677777778,,
号116 ,3,297,340.3,0.596385542,0.683333333,,
号117 ,3,300,343.0666667,0.602409639,0.688888889,,
号118 ,3,303,345.8333333,0.608433735,0.694444444,,
号121 ,3,306,348.6,0.614457831,0.7,,
号125 ,3,309,351.3666667,0.620481928,0.705555556,,
号126 ,3,312,354.1333333,0.626506024,0.711111111,,
号127 ,3,315,356.9,0.63253012,0.716666667,,
号130 ,3,318,359.6666667,0.638554217,0.722222222,,
号134 ,3,321,362.4333333,0.644578313,0.727777778,,
号135 ,3,324,365.2,0.65060241,0.733333333,,
号136 ,3,327,367.9666667,0.656626506,0.738888889,,
号139 ,3,330,370.7333333,0.662650602,0.744444444,,
号143 ,3,333,373.5,0.668674699,0.75,,
号144 ,3,336,376.2666667,0.674698795,0.755555556,,
号145 ,3,339,379.0333333,0.680722892,0.761111111,,
号148 ,3,342,381.8,0.686746988,0.766666667,,
号152 ,3,345,384.5666667,0.692771084,0.772222222,,
号153 ,3,348,387.3333333,0.698795181,0.777777778,,
号154 ,3,351,390.1,0.704819277,0.783333333,,
号157 ,3,354,392.8666667,0.710843373,0.788888889,,
号161 ,3,357,395.6333333,0.71686747,0.794444444,,
号162 ,3,360,398.4,0.722891566,0.8,,
号163 ,3,363,401.1666667,0.728915663,0.805555556,,
号166 ,3,366,403.9333333,0.734939759,0.811111111,,
号170 ,3,369,406.7,0.740963855,0.816666667,,
号171 ,3,372,409.4666667,0.746987952,0.822222222,,
号172 ,3,375,412.2333333,0.753012048,0.827777778,,
号175 ,3,378,415,0.759036145,0.833333333,,
号179 ,3,381,417.7666667,0.765060241,0.838888889,,
号180 ,3,384,420.5333333,0.771084337,0.844444444,,
号1 ,4,388,423.3,0.779116466,0.85,,
号4 ,4,392,426.0666667,0.787148594,0.855555556,,
号8 ,4,396,428.8333333,0.795180723,0.861111111,,
号9 ,4,400,431.6,0.803212851,0.866666667,,
号10 ,4,404,434.3666667,0.81124498,0.872222222,,
号13 ,4,408,437.1333333,0.819277108,0.877777778,,
号17 ,4,412,439.9,0.827309237,0.883333333,,
号18 ,4,416,442.6666667,0.835341365,0.888888889,,
号25 ,4,420,445.4333333,0.843373494,0.894444444,,
号34 ,4,424,448.2,0.851405622,0.9,,
号43 ,4,428,450.9666667,0.859437751,0.905555556,,
号52 ,4,432,453.7333333,0.86746988,0.911111111,,
号61 ,4,436,456.5,0.875502008,0.916666667,,
号70 ,4,440,459.2666667,0.883534137,0.922222222,,
号79 ,4,444,462.0333333,0.891566265,0.927777778,,
号88 ,4,448,464.8,0.899598394,0.933333333,,
号97 ,4,452,467.5666667,0.907630522,0.938888889,,
号106 ,4,456,470.3333333,0.915662651,0.944444444,,
号115 ,4,460,473.1,0.923694779,0.95,,
号124 ,4,464,475.8666667,0.931726908,0.955555556,,
号133 ,4,468,478.6333333,0.939759036,0.961111111,,
号142 ,4,472,481.4,0.947791165,0.966666667,,
号151 ,4,476,484.1666667,0.955823293,0.972222222,,
号160 ,4,480,486.9333333,0.963855422,0.977777778,,
号169 ,4,484,489.7,0.97188755,0.983333333,,
号178 ,4,488,492.4666667,0.979919679,0.988888889,,
号7 ,5,493,495.2333333,0.989959839,0.994444444,,
号16 ,5,498,498,1,1,,
