规ID,蜡荤档,穿利蜡荤档,闭殿穿利蜡荤档,穿利蜡荤档 厚啦,闭殿穿利蜡荤档 厚啦,,瘤聪拌荐
规14,0.112004619,0.112004619,0.392229455,0.003569486,0.0125,,0.418258902
规46,0.112004619,0.224009238,0.78445891,0.007138973,0.025,,
规38,0.112004619,0.336013857,1.176688364,0.010708459,0.0375,,
规70,0.112004619,0.448018476,1.568917819,0.014277946,0.05,,
规54,0.112004619,0.560023095,1.961147274,0.017847432,0.0625,,
规30,0.112004619,0.672027714,2.353376729,0.021416919,0.075,,
规50,0.125,0.797027714,2.745606184,0.025400556,0.0875,,
规10,0.125,0.922027714,3.137835639,0.029384194,0.1,,
规32,0.125,1.047027714,3.530065093,0.033367832,0.1125,,
规48,0.125,1.172027714,3.922294548,0.037351469,0.125,,
规69,0.125,1.297027714,4.314524003,0.041335107,0.1375,,
规53,0.125,1.422027714,4.706753458,0.045318744,0.15,,
规72,0.125,1.547027714,5.098982913,0.049302382,0.1625,,
规56,0.125,1.672027714,5.491212368,0.05328602,0.175,,
规13,0.125,1.797027714,5.883441822,0.057269657,0.1875,,
规16,0.125,1.922027714,6.275671277,0.061253295,0.2,,
规34,0.125,2.047027714,6.667900732,0.065236932,0.2125,,
规45,0.125,2.172027714,7.060130187,0.06922057,0.225,,
规66,0.125,2.297027714,7.452359642,0.073204208,0.2375,,
规42,0.125,2.422027714,7.844589097,0.077187845,0.25,,
规26,0.125,2.547027714,8.236818551,0.081171483,0.2625,,
规37,0.125,2.672027714,8.629048006,0.08515512,0.275,,
规29,0.125,2.797027714,9.021277461,0.089138758,0.2875,,
规40,0.125,2.922027714,9.413506916,0.093122396,0.3,,
规33,0.144948974,3.066976688,9.805736371,0.097741789,0.3125,,
规68,0.144948974,3.211925662,10.19796583,0.102361182,0.325,,
规12,0.144948974,3.356874636,10.59019528,0.106980576,0.3375,,
规65,0.144948974,3.50182361,10.98242474,0.111599969,0.35,,
规9,0.144948974,3.646772584,11.37465419,0.116219363,0.3625,,
规71,0.144948974,3.791721558,11.76688364,0.120838756,0.375,,
规25,0.144948974,3.936670532,12.1591131,0.12545815,0.3875,,
规28,0.144948974,4.081619506,12.55134255,0.130077543,0.4,,
规15,0.144948974,4.22656848,12.94357201,0.134696937,0.4125,,
规31,0.144948974,4.371517454,13.33580146,0.13931633,0.425,,
规39,0.144948974,4.516466428,13.72803092,0.143935723,0.4375,,
规52,0.144948974,4.661415402,14.12026037,0.148555117,0.45,,
规47,0.144948974,4.806364376,14.51248983,0.15317451,0.4625,,
规55,0.144948974,4.95131335,14.90471928,0.157793904,0.475,,
规36,0.144948974,5.096262324,15.29694874,0.162413297,0.4875,,
规49,0.144948974,5.241211298,15.68917819,0.167032691,0.5,,
规44,0.144948974,5.386160272,16.08140765,0.171652084,0.5125,,
规41,0.144948974,5.531109246,16.4736371,0.176271478,0.525,,
规67,0.183012702,5.714121948,16.86586656,0.182103928,0.5375,,
规11,0.183012702,5.89713465,17.25809601,0.187936378,0.55,,
规43,0.183012702,6.080147352,17.65032547,0.193768828,0.5625,,
规51,0.183012702,6.263160054,18.04255492,0.199601279,0.575,,
规27,0.183012702,6.446172756,18.43478438,0.205433729,0.5875,,
规35,0.183012702,6.629185458,18.82701383,0.211266179,0.6,,
规62,0.586363857,7.215549315,19.21924329,0.229953068,0.6125,,
规61,0.62535,7.840899315,19.61147274,0.24988241,0.625,,
规58,0.62535,8.466249315,20.0037022,0.269811752,0.6375,,
规64,0.62535,9.091599315,20.39593165,0.289741094,0.65,,
规22,0.666213857,9.757813172,20.78816111,0.310972731,0.6625,,
规60,0.685196923,10.4430101,21.18039056,0.332809341,0.675,,
规63,0.685196923,11.12820702,21.57262002,0.35464595,0.6875,,
规57,0.685196923,11.81340394,21.96484947,0.37648256,0.7,,
规78,0.691813857,12.5052178,22.35707893,0.398530045,0.7125,,
规18,0.7052,13.2104178,22.74930838,0.421004135,0.725,,
规24,0.7052,13.9156178,23.14153783,0.443478225,0.7375,,
规21,0.7052,14.6208178,23.53376729,0.465952315,0.75,,
规80,0.7308,15.3516178,23.92599674,0.489242254,0.7625,,
规77,0.7308,16.0824178,24.3182262,0.512532193,0.775,,
规74,0.7308,16.8132178,24.71045565,0.535822131,0.7875,,
规17,0.765046923,17.57826472,25.10268511,0.560203489,0.8,,
规20,0.765046923,18.34331164,25.49491456,0.584584846,0.8125,,
规23,0.765046923,19.10835857,25.88714402,0.608966204,0.825,,
规73,0.790646923,19.89900549,26.27937347,0.63416341,0.8375,,
规76,0.790646923,20.68965241,26.67160293,0.659360617,0.85,,
规79,0.790646923,21.48029934,27.06383238,0.684557823,0.8625,,
规59,0.799388106,22.27968744,27.45606184,0.710033603,0.875,,
规6,0.836013857,23.1157013,27.84829129,0.736676613,0.8875,,
规8,0.875,23.9907013,28.24052075,0.764562076,0.9,,
规5,0.875,24.8657013,28.6327502,0.792447539,0.9125,,
规2,0.875,25.7407013,29.02497966,0.820333002,0.925,,
规19,0.879238106,26.61993941,29.41720911,0.84835353,0.9375,,
规75,0.904838106,27.52477751,29.80943857,0.877189907,0.95,,
规1,0.934846923,28.45962443,30.20166802,0.906982637,0.9625,,
规7,0.934846923,29.39447136,30.59389748,0.936775368,0.975,,
规4,0.934846923,30.32931828,30.98612693,0.966568099,0.9875,,
规3,1.049038106,31.37835639,31.37835639,1,1,,
