号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号81,0.112004619,0.112004619,0.406373493,0.002296832,0.008333333,,0.419407625
号21,0.112004619,0.224009238,0.812746987,0.004593665,0.016666667,,
号69,0.112004619,0.336013857,1.21912048,0.006890497,0.025,,
号105,0.112004619,0.448018475,1.625493974,0.00918733,0.033333333,,
号57,0.112004619,0.560023094,2.031867467,0.011484162,0.041666667,,
号45,0.112004619,0.672027713,2.438240961,0.013780995,0.05,,
号15,0.125,0.797027713,2.844614454,0.016344318,0.058333333,,
号20,0.125,0.922027713,3.250987948,0.018907641,0.066666667,,
号104,0.125,1.047027713,3.657361441,0.021470965,0.075,,
号108,0.125,1.172027713,4.063734935,0.024034288,0.083333333,,
号60,0.125,1.297027713,4.470108428,0.026597611,0.091666667,,
号63,0.125,1.422027713,4.876481922,0.029160935,0.1,,
号75,0.125,1.547027713,5.282855415,0.031724258,0.108333333,,
号99,0.125,1.672027713,5.689228909,0.034287581,0.116666667,,
号39,0.125,1.797027713,6.095602402,0.036850905,0.125,,
号44,0.125,1.922027713,6.501975896,0.039414228,0.133333333,,
号48,0.125,2.047027713,6.908349389,0.041977552,0.141666667,,
号51,0.125,2.172027713,7.314722883,0.044540875,0.15,,
号56,0.125,2.297027713,7.721096376,0.047104198,0.158333333,,
号84,0.125,2.422027713,8.12746987,0.049667522,0.166666667,,
号24,0.125,2.547027713,8.533843363,0.052230845,0.175,,
号68,0.125,2.672027713,8.940216857,0.054794168,0.183333333,,
号80,0.125,2.797027713,9.34659035,0.057357492,0.191666667,,
号72,0.125,2.922027713,9.752963844,0.059920815,0.2,,
号55,0.130601937,3.052629651,10.15933734,0.062599015,0.208333333,,
号43,0.130601937,3.183231588,10.56571083,0.065277215,0.216666667,,
号103,0.130601937,3.313833526,10.97208432,0.067955415,0.225,,
号67,0.130601937,3.444435463,11.37845782,0.070633615,0.233333333,,
号79,0.130601937,3.575037401,11.78483131,0.073311815,0.241666667,,
号19,0.130601937,3.705639338,12.1912048,0.075990015,0.25,,
号18,0.144948974,3.850588312,12.5975783,0.078962424,0.258333333,,
号23,0.144948974,3.995537287,13.00395179,0.081934832,0.266666667,,
号74,0.144948974,4.140486261,13.41032529,0.084907241,0.275,,
号107,0.144948974,4.285435235,13.81669878,0.08787965,0.283333333,,
号83,0.144948974,4.43038421,14.22307227,0.090852059,0.291666667,,
号71,0.144948974,4.575333184,14.62944577,0.093824467,0.3,,
号38,0.144948974,4.720282158,15.03581926,0.096796876,0.308333333,,
号54,0.144948974,4.865231132,15.44219275,0.099769285,0.316666667,,
号78,0.144948974,5.010180107,15.84856625,0.102741693,0.325,,
号66,0.144948974,5.155129081,16.25493974,0.105714102,0.333333333,,
号98,0.144948974,5.300078055,16.66131323,0.108686511,0.341666667,,
号62,0.144948974,5.445027029,17.06768673,0.11165892,0.35,,
号47,0.144948974,5.589976004,17.47406022,0.114631328,0.358333333,,
号14,0.144948974,5.734924978,17.88043371,0.117603737,0.366666667,,
号59,0.144948974,5.879873952,18.28680721,0.120576146,0.375,,
号50,0.144948974,6.024822927,18.6931807,0.123548555,0.383333333,,
号102,0.144948974,6.169771901,19.09955419,0.126520963,0.391666667,,
号42,0.144948974,6.314720875,19.50592769,0.129493372,0.4,,
号97,0.154508497,6.469229372,19.91230118,0.132661814,0.408333333,,
号37,0.154508497,6.623737869,20.31867467,0.135830256,0.416666667,,
号46,0.154508497,6.778246367,20.72504817,0.138998698,0.425,,
号49,0.154508497,6.932754864,21.13142166,0.14216714,0.433333333,,
号13,0.154508497,7.087263361,21.53779516,0.145335582,0.441666667,,
号22,0.154508497,7.241771858,21.94416865,0.148504023,0.45,,
号82,0.154508497,7.396280355,22.35054214,0.151672465,0.458333333,,
号58,0.154508497,7.550788853,22.75691564,0.154840907,0.466666667,,
号73,0.154508497,7.70529735,23.16328913,0.158009349,0.475,,
号61,0.154508497,7.859805847,23.56966262,0.161177791,0.483333333,,
号70,0.154508497,8.014314344,23.97603612,0.164346233,0.491666667,,
号106,0.154508497,8.168822841,24.38240961,0.167514675,0.5,,
号41,0.183012702,8.351835543,24.7887831,0.171267641,0.508333333,,
号53,0.183012702,8.534848245,25.1951566,0.175020607,0.516666667,,
号65,0.183012702,8.717860947,25.60153009,0.178773573,0.525,,
号17,0.183012702,8.900873649,26.00790358,0.182526538,0.533333333,,
号77,0.183012702,9.083886351,26.41427708,0.186279504,0.541666667,,
号101,0.183012702,9.266899053,26.82065057,0.19003247,0.55,,
号40,0.207106781,9.474005834,27.22702406,0.194279523,0.558333333,,
号52,0.207106781,9.681112615,27.63339756,0.198526577,0.566666667,,
号64,0.207106781,9.888219396,28.03977105,0.20277363,0.575,,
号100,0.207106781,10.09532618,28.44614454,0.207020683,0.583333333,,
号16,0.207106781,10.30243296,28.85251804,0.211267736,0.591666667,,
号76,0.207106781,10.50953974,29.25889153,0.215514789,0.6,,
号93,0.586363857,11.0959036,29.66526503,0.227539111,0.608333333,,
号96,0.62535,11.7212536,30.07163852,0.240362905,0.616666667,,
号92,0.62535,12.3466036,30.47801201,0.253186699,0.625,,
号87,0.62535,12.9719536,30.88438551,0.266010493,0.633333333,,
号91,0.642155812,13.61410941,31.290759,0.279178917,0.641666667,,
号33,0.666213857,14.28032327,31.69713249,0.292840689,0.65,,
号95,0.685196923,14.96552019,32.10350599,0.306891739,0.658333333,,
号90,0.685196923,15.65071711,32.50987948,0.32094279,0.666666667,,
号86,0.685196923,16.33591403,32.91625297,0.33499384,0.675,,
号117,0.691813857,17.02772789,33.32262647,0.349180581,0.683333333,,
号32,0.7052,17.73292789,33.72899996,0.363641826,0.691666667,,
号36,0.7052,18.43812789,34.13537345,0.378103071,0.7,,
号27,0.7052,19.14332789,34.54174695,0.392564316,0.708333333,,
号94,0.713875492,19.85720338,34.94812044,0.407203466,0.716666667,,
号85,0.713875492,20.57107887,35.35449393,0.421842615,0.725,,
号31,0.722005812,21.29308469,35.76086743,0.43664849,0.733333333,,
号120,0.7308,22.02388469,36.16724092,0.451634704,0.741666667,,
号111,0.7308,22.75468469,36.57361441,0.466620918,0.75,,
号116,0.7308,23.48548469,36.97998791,0.481607131,0.758333333,,
号115,0.747605812,24.2330905,37.3863614,0.496937975,0.766666667,,
号26,0.765046923,24.99813742,37.7927349,0.512626476,0.775,,
号30,0.765046923,25.76318434,38.19910839,0.528314977,0.783333333,,
号35,0.765046923,26.52823127,38.60548188,0.544003478,0.791666667,,
号110,0.790646923,27.31887819,39.01185538,0.560216948,0.8,,
号114,0.790646923,28.10952511,39.41822887,0.576430418,0.808333333,,
号119,0.790646923,28.90017204,39.82460236,0.592643888,0.816666667,,
号34,0.793725492,29.69389753,40.23097586,0.608920488,0.825,,
号25,0.793725492,30.48762302,40.63734935,0.625197089,0.833333333,,
号89,0.799388106,31.28701112,41.04372284,0.641589811,0.841666667,,
号118,0.819325492,32.10633662,41.45009634,0.65839138,0.85,,
号109,0.819325492,32.92566211,41.85646983,0.675192949,0.858333333,,
号9,0.836013857,33.76167596,42.26284332,0.69233674,0.866666667,,
号88,0.871670344,34.63334631,42.66921682,0.710211724,0.875,,
号3,0.875,35.50834631,43.07559031,0.728154987,0.883333333,,
号8,0.875,36.38334631,43.4819638,0.746098251,0.891666667,,
号12,0.875,37.25834631,43.8883373,0.764041514,0.9,,
号29,0.879238106,38.13758441,44.29471079,0.782071687,0.908333333,,
号7,0.891805812,39.02939023,44.70108428,0.80035958,0.916666667,,
号113,0.904838106,39.93422833,45.10745778,0.818914721,0.925,,
