号ID,政紫亀,刊旋政紫亀,液去刊旋政紫亀,刊旋政紫亀 搾晴,液去刊旋政紫亀 搾晴,,走艦域呪
号100,0.130601937,4.489250958,15.30479641,0.058664628,0.2,,
号110,0.144948974,4.634199932,15.72992964,0.060558792,0.205555556,,
号32,0.144948974,4.779148906,16.15506288,0.062452956,0.211111111,,
号150,0.144948974,4.92409788,16.58019611,0.06434712,0.216666667,,
号78,0.144948974,5.069046854,17.00532934,0.066241284,0.222222222,,
号86,0.144948974,5.213995828,17.43046258,0.068135448,0.227777778,,
号122,0.144948974,5.358944802,17.85559581,0.070029612,0.233333333,,
号146,0.144948974,5.503893776,18.28072905,0.071923776,0.238888889,,
号74,0.144948974,5.64884275,18.70586228,0.07381794,0.244444444,,
号20,0.144948974,5.793791724,19.13099551,0.075712104,0.25,,
号114,0.144948974,5.938740698,19.55612875,0.077606269,0.255555556,,
号92,0.144948974,6.083689672,19.98126198,0.079500433,0.261111111,,
号24,0.144948974,6.228638646,20.40639521,0.081394597,0.266666667,,
号68,0.144948974,6.37358762,20.83152845,0.083288761,0.272222222,,
号104,0.144948974,6.518536594,21.25666168,0.085182925,0.277777778,,
号56,0.144948974,6.663485568,21.68179491,0.087077089,0.283333333,,
号96,0.144948974,6.808434542,22.10692815,0.088971253,0.288888889,,
号158,0.144948974,6.953383516,22.53206138,0.090865417,0.294444444,,
号60,0.144948974,7.09833249,22.95719462,0.092759581,0.3,,
号103,0.154508497,7.252840987,23.38232785,0.094778667,0.305555556,,
号161,0.154508497,7.407349484,23.80746108,0.096797753,0.311111111,,
号81,0.154508497,7.561857981,24.23259432,0.098816839,0.316666667,,
号27,0.154508497,7.716366478,24.65772755,0.100835925,0.322222222,,
号55,0.154508497,7.870874975,25.08286078,0.10285501,0.327777778,,
号107,0.154508497,8.025383472,25.50799402,0.104874096,0.333333333,,
号117,0.154508497,8.179891969,25.93312725,0.106893182,0.338888889,,
号109,0.154508497,8.334400466,26.35826048,0.108912268,0.344444444,,
号63,0.154508497,8.488908963,26.78339372,0.110931354,0.35,,
号121,0.154508497,8.64341746,27.20852695,0.11295044,0.355555556,,
号145,0.154508497,8.797925957,27.63366019,0.114969526,0.361111111,,
号125,0.154508497,8.952434454,28.05879342,0.116988612,0.366666667,,
号31,0.154508497,9.106942951,28.48392665,0.119007698,0.372222222,,
号35,0.154508497,9.261451448,28.90905989,0.121026784,0.377777778,,
号157,0.154508497,9.415959945,29.33419312,0.12304587,0.383333333,,
号19,0.154508497,9.570468442,29.75932635,0.125064956,0.388888889,,
号73,0.154508497,9.724976939,30.18445959,0.127084042,0.394444444,,
号85,0.154508497,9.879485436,30.60959282,0.129103128,0.4,,
号153,0.154508497,10.03399393,31.03472605,0.131122214,0.405555556,,
号67,0.154508497,10.18850243,31.45985929,0.1331413,0.411111111,,
号89,0.154508497,10.34301093,31.88499252,0.135160386,0.416666667,,
号71,0.154508497,10.49751942,32.31012576,0.137179472,0.422222222,,
号91,0.154508497,10.65202792,32.73525899,0.139198558,0.427777778,,
号99,0.154508497,10.80653642,33.16039222,0.141217644,0.433333333,,
号70,0.166666667,10.97320309,33.58552546,0.14339561,0.438888889,,
号34,0.166666667,11.13986975,34.01065869,0.145573576,0.444444444,,
号124,0.166666667,11.30653642,34.43579192,0.147751543,0.45,,
号88,0.166666667,11.47320309,34.86092516,0.149929509,0.455555556,,
号160,0.166666667,11.63986975,35.28605839,0.152107476,0.461111111,,
号106,0.166666667,11.80653642,35.71119162,0.154285442,0.466666667,,
号95,0.183012702,11.98954912,36.13632486,0.156677015,0.472222222,,
号59,0.183012702,12.17256182,36.56145809,0.159068589,0.477777778,,
号23,0.183012702,12.35557453,36.98659133,0.161460162,0.483333333,,
号149,0.183012702,12.53858723,37.41172456,0.163851735,0.488888889,,
号77,0.183012702,12.72159993,37.83685779,0.166243308,0.494444444,,
号113,0.183012702,12.90461263,38.26199103,0.168634881,0.5,,
号22,0.207106781,13.11171941,38.68712426,0.171341311,0.505555556,,
号76,0.207106781,13.31882619,39.11225749,0.174047741,0.511111111,,
号94,0.207106781,13.52593298,39.53739073,0.176754171,0.516666667,,
号152,0.207106781,13.73303976,39.96252396,0.1794606,0.522222222,,
号116,0.207106781,13.94014654,40.38765719,0.18216703,0.527777778,,
号98,0.207106781,14.14725332,40.81279043,0.18487346,0.533333333,,
号26,0.207106781,14.3543601,41.23792366,0.18757989,0.538888889,,
号58,0.207106781,14.56146688,41.66305689,0.190286319,0.544444444,,
号80,0.207106781,14.76857366,42.08819013,0.192992749,0.55,,
号148,0.207106781,14.97568044,42.51332336,0.195699179,0.555555556,,
号112,0.207106781,15.18278722,42.9384566,0.198405608,0.561111111,,
号62,0.207106781,15.389894,43.36358983,0.201112038,0.566666667,,
号115,0.25,15.639894,43.78872306,0.204378988,0.572222222,,
号61,0.25,15.889894,44.2138563,0.207645938,0.577777778,,
号151,0.25,16.139894,44.63898953,0.210912887,0.583333333,,
号97,0.25,16.389894,45.06412276,0.214179837,0.588888889,,
号79,0.25,16.639894,45.489256,0.217446787,0.594444444,,
号25,0.25,16.889894,45.91438923,0.220713736,0.6,,
号138,0.586363857,17.47625786,46.33952246,0.228376221,0.605555556,,
号137,0.62535,18.10160786,46.7646557,0.236548169,0.611111111,,
号141,0.62535,18.72695786,47.18978893,0.244720117,0.616666667,,
号129,0.62535,19.35230786,47.61492217,0.252892065,0.622222222,,
号144,0.642155812,19.99446367,48.0400554,0.261283628,0.627777778,,
号136,0.642155812,20.63661949,48.46518863,0.269675191,0.633333333,,
号48,0.666213857,21.30283334,48.89032187,0.27838114,0.638888889,,
号132,0.685196923,21.98803027,49.3154551,0.287335155,0.644444444,,
号140,0.685196923,22.67322719,49.74058833,0.296289171,0.65,,
号128,0.685196923,23.35842411,50.16572157,0.305243186,0.655555556,,
号174,0.691813857,24.05023797,50.5908548,0.314283671,0.661111111,,
号51,0.7052,24.75543797,51.01598803,0.323499082,0.666666667,,
号39,0.7052,25.46063797,51.44112127,0.332714494,0.672222222,,
号47,0.7052,26.16583797,51.8662545,0.341929906,0.677777778,,
号143,0.713875492,26.87971346,52.29138774,0.351258687,0.683333333,,
号135,0.713875492,27.59358895,52.71652097,0.360587468,0.688888889,,
号139,0.713875492,28.30746444,53.1416542,0.36991625,0.694444444,,
号127,0.713875492,29.02133994,53.56678744,0.379245031,0.7,,
号54,0.722005812,29.74334575,53.99192067,0.388680058,0.705555556,,
号46,0.722005812,30.46535156,54.4170539,0.398115084,0.711111111,,
号177,0.7308,31.19615156,54.84218714,0.407665032,0.716666667,,
号173,0.7308,31.92695156,55.26732037,0.417214979,0.722222222,,
号165,0.7308,32.65775156,55.6924536,0.426764926,0.727777778,,
号180,0.747605812,33.40535737,56.11758684,0.436534489,0.733333333,,
号172,0.747605812,34.15296318,56.54272007,0.446304051,0.738888889,,
号142,0.75035,34.90331318,56.96785331,0.456109474,0.744444444,,
号42,0.765046923,35.66836011,57.39298654,0.466106953,0.75,,
号50,0.765046923,36.43340703,57.81811977,0.476104432,0.755555556,,
号38,0.765046923,37.19845395,58.24325301,0.486101912,0.761111111,,
号176,0.790646923,37.98910088,58.66838624,0.496433926,0.766666667,,
号164,0.790646923,38.7797478,59.09351947,0.506765941,0.772222222,,
号168,0.790646923,39.57039472,59.51865271,0.517097956,0.777777778,,
号49,0.793725492,40.36412021,59.94378594,0.527470201,0.783333333,,
号53,0.793725492,41.15784571,60.36891917,0.537842446,0.788888889,,
号37,0.793725492,41.9515712,60.79405241,0.548214691,0.794444444,,
号45,0.793725492,42.74529669,61.21918564,0.558586936,0.8,,
号131,0.799388106,43.5446848,61.64431888,0.569033179,0.805555556,,
号175,0.819325492,44.36401029,62.06945211,0.57973996,0.811111111,,
号179,0.819325492,45.18333578,62.49458534,0.590446741,0.816666667,,
号163,0.819325492,46.00266127,62.91971858,0.601153521,0.822222222,,
号171,0.819325492,46.82198676,63.34485181,0.611860302,0.827777778,,
号52,0.8302,47.65218676,63.76998504,0.622709188,0.833333333,,
号12,0.836013857,48.48820062,64.19511828,0.633634049,0.838888889,,
号178,0.8558,49.34400062,64.62025151,0.644817472,0.844444444,,
号130,0.871670344,50.21567097,65.04538474,0.656208284,0.85,,
号134,0.871670344,51.08734131,65.47051798,0.667599097,0.855555556,,
号11,0.875,51.96234131,65.89565121,0.679033421,0.861111111,,
号3,0.875,52.83734131,66.32078445,0.690467745,0.866666667,,
号15,0.875,53.71234131,66.74591768,0.701902069,0.872222222,,
号41,0.879238106,54.59157942,67.17105091,0.713391775,0.877777778,,
号18,0.891805812,55.48338523,67.59618415,0.725045714,0.883333333,,
号10,0.891805812,56.37519104,68.02131738,0.736699653,0.888888889,,
号167,0.904838106,57.28002915,68.44645061,0.748523896,0.894444444,,
号2,0.934846923,58.21487607,68.87158385,0.760740287,0.9,,
号14,0.934846923,59.14972299,69.29671708,0.772956678,0.905555556,,
号6,0.934846923,60.08456991,69.72185031,0.78517307,0.911111111,,
号44,0.951520344,61.03609026,70.14698355,0.797607346,0.916666667,,
号40,0.951520344,61.9876106,70.57211678,0.810041623,0.922222222,,
号13,0.963525492,62.95113609,70.99725001,0.82263278,0.927777778,,
号9,0.963525492,63.91466159,71.42238325,0.835223937,0.933333333,,
号17,0.963525492,64.87818708,71.84751648,0.847815095,0.938888889,,
号1,0.963525492,65.84171257,72.27264972,0.860406252,0.944444444,,
号170,0.977120344,66.81883291,72.69778295,0.873175064,0.95,,
号166,0.977120344,67.79595326,73.12291618,0.885943876,0.955555556,,
号16,1,68.79595326,73.54804942,0.899011675,0.961111111,,
号133,1.00035,69.79630326,73.97318265,0.912084047,0.966666667,,
号5,1.049038106,70.84534136,74.39831588,0.925792666,0.972222222,,
号43,1.0802,71.92554136,74.82344912,0.939908502,0.977777778,,
号169,1.1058,73.03134136,75.24858235,0.954358874,0.983333333,,
号4,1.121320344,74.15266171,75.67371558,0.969012063,0.988888889,,
号8,1.121320344,75.27398205,76.09884882,0.983665252,0.994444444,,
号7,1.25,76.52398205,76.52398205,1,1,,
