号ID,政紫亀,刊旋政紫亀,液去刊旋政紫亀,刊旋政紫亀 搾晴,液去刊旋政紫亀 搾晴,,走艦域呪
号84,0.112004619,0.112004619,0.425133234,0.001463654,0.005555556,,0.421100821
号156,0.112004619,0.224009238,0.850266467,0.002927308,0.011111111,,
号102,0.112004619,0.336013857,1.275399701,0.004390961,0.016666667,,
号120,0.112004619,0.448018476,1.700532934,0.005854615,0.022222222,,
号30,0.112004619,0.560023095,2.125666168,0.007318269,0.027777778,,
号66,0.112004619,0.672027714,2.550799402,0.008781923,0.033333333,,
号33,0.125,0.797027714,2.975932635,0.010415398,0.038888889,,
号123,0.125,0.922027714,3.401065869,0.012048873,0.044444444,,
号119,0.125,1.047027714,3.826199103,0.013682347,0.05,,
号111,0.125,1.172027714,4.251332336,0.015315822,0.055555556,,
号105,0.125,1.297027714,4.67646557,0.016949297,0.061111111,,
号159,0.125,1.422027714,5.101598803,0.018582772,0.066666667,,
号101,0.125,1.547027714,5.526732037,0.020216247,0.072222222,,
号155,0.125,1.672027714,5.951865271,0.021849722,0.077777778,,
号93,0.125,1.797027714,6.376998504,0.023483197,0.083333333,,
号87,0.125,1.922027714,6.802131738,0.025116671,0.088888889,,
号83,0.125,2.047027714,7.227264972,0.026750146,0.094444444,,
号21,0.125,2.172027714,7.652398205,0.028383621,0.1,,
号75,0.125,2.297027714,8.077531439,0.030017096,0.105555556,,
号69,0.125,2.422027714,8.502664672,0.031650571,0.111111111,,
号65,0.125,2.547027714,8.927797906,0.033284046,0.116666667,,
号57,0.125,2.672027714,9.35293114,0.034917521,0.122222222,,
号147,0.125,2.797027714,9.778064373,0.036550995,0.127777778,,
号29,0.125,2.922027714,10.20319761,0.03818447,0.133333333,,
号162,0.130601937,3.052629651,10.62833084,0.03989115,0.138888889,,
号28,0.130601937,3.183231588,11.05346407,0.04159783,0.144444444,,
号154,0.130601937,3.313833525,11.47859731,0.04330451,0.15,,
号90,0.130601937,3.444435462,11.90373054,0.04501119,0.155555556,,
号36,0.130601937,3.575037399,12.32886378,0.046717869,0.161111111,,
号126,0.130601937,3.705639336,12.75399701,0.048424549,0.166666667,,
号118,0.130601937,3.836241273,13.17913024,0.050131229,0.172222222,,
号64,0.130601937,3.96684321,13.60426348,0.051837909,0.177777778,,
号108,0.130601937,4.097445147,14.02939671,0.053544589,0.183333333,,
号72,0.130601937,4.228047084,14.45452994,0.055251269,0.188888889,,
号82,0.130601937,4.358649021,14.87966318,0.056957948,0.194444444,,
