号ID,政紫亀,刊旋政紫亀,液去刊旋政紫亀,刊旋政紫亀 搾晴,液去刊旋政紫亀 搾晴,,走艦域呪
号237,0.112004619,0.112005,0.45912924,0.000903519,0.003703704,,0.426982356
号102,0.112004619,0.224009,0.918258481,0.001807038,0.007407407,,
号156,0.112004619,0.336014,1.377387721,0.002710557,0.011111111,,
号48,0.112004619,0.448018,1.836516961,0.003614075,0.014814815,,
号183,0.112004619,0.560023,2.295646202,0.004517594,0.018518519,,
号129,0.112004619,0.672028,2.754775442,0.005421113,0.022222222,,
号236,0.125,0.797028,3.213904682,0.006429463,0.025925926,,
号51,0.125,0.922028,3.673033923,0.007437813,0.02962963,,
号186,0.125,1.047028,4.132163163,0.008446163,0.033333333,,
号182,0.125,1.172028,4.591292403,0.009454513,0.037037037,,
号47,0.125,1.297028,5.050421644,0.010462863,0.040740741,,
号174,0.125,1.422028,5.509550884,0.011471213,0.044444444,,
号240,0.125,1.547028,5.968680124,0.012479563,0.048148148,,
号93,0.125,1.672028,6.427809365,0.013487913,0.051851852,,
号101,0.125,1.797028,6.886938605,0.014496263,0.055555556,,
号128,0.125,1.922028,7.346067845,0.015504613,0.059259259,,
号159,0.125,2.047028,7.805197086,0.016512963,0.062962963,,
号105,0.125,2.172028,8.264326326,0.017521313,0.066666667,,
号155,0.125,2.297028,8.723455566,0.018529663,0.07037037,,
号39,0.125,2.422028,9.182584807,0.019538013,0.074074074,,
号228,0.125,2.547028,9.641714047,0.020546363,0.077777778,,
号147,0.125,2.672028,10.10084329,0.021554713,0.081481481,,
号120,0.125,2.797028,10.55997253,0.022563063,0.085185185,,
号132,0.125,2.922028,11.01910177,0.023571413,0.088888889,,
号219,0.130601937,3.052630,11.47823101,0.024624953,0.092592593,,
号154,0.130601937,3.183232,11.93736025,0.025678492,0.096296296,,
号54,0.130601937,3.313834,12.39648949,0.026732032,0.1,,
号162,0.130601937,3.444435,12.85561873,0.027785572,0.103703704,,
号30,0.130601937,3.575037,13.31474797,0.028839111,0.107407407,,
号165,0.130601937,3.705639,13.77387721,0.029892651,0.111111111,,
号243,0.130601937,3.836241,14.23300645,0.030946191,0.114814815,,
号181,0.130601937,3.966843,14.69213569,0.03199973,0.118518519,,
号189,0.130601937,4.097445,15.15126493,0.03305327,0.122222222,,
号235,0.130601937,4.228047,15.61039417,0.03410681,0.125925926,,
号138,0.130601937,4.358649,16.06952341,0.035160349,0.12962963,,
号135,0.130601937,4.489251,16.52865265,0.036213889,0.133333333,,
号127,0.130601937,4.619853,16.98778189,0.037267429,0.137037037,,
号111,0.130601937,4.750455,17.44691113,0.038320969,0.140740741,,
号84,0.130601937,4.881057,17.90604037,0.039374508,0.144444444,,
号108,0.130601937,5.011659,18.36516961,0.040428048,0.148148148,,
号46,0.130601937,5.142261,18.82429885,0.041481588,0.151851852,,
号100,0.130601937,5.272863,19.28342809,0.042535127,0.155555556,,
号50,0.144948974,5.417812,19.74255733,0.043704402,0.159259259,,
号42,0.144948974,5.562761,20.20168657,0.044873676,0.162962963,,
号239,0.144948974,5.707710,20.66081581,0.04604295,0.166666667,,
号227,0.144948974,5.852658,21.11994506,0.047212225,0.17037037,,
号38,0.144948974,5.997607,21.5790743,0.048381499,0.174074074,,
号231,0.144948974,6.142556,22.03820354,0.049550774,0.177777778,,
号96,0.144948974,6.287505,22.49733278,0.050720048,0.181481481,,
号131,0.144948974,6.432454,22.95646202,0.051889322,0.185185185,,
号158,0.144948974,6.577403,23.41559126,0.053058597,0.188888889,,
号123,0.144948974,6.722352,23.8747205,0.054227871,0.192592593,,
号185,0.144948974,6.867301,24.33384974,0.055397145,0.196296296,,
号92,0.144948974,7.012250,24.79297898,0.05656642,0.2,,
号119,0.144948974,7.157199,25.25210822,0.057735694,0.203703704,,
号177,0.144948974,7.302148,25.71123746,0.058904968,0.207407407,,
号173,0.144948974,7.447097,26.1703667,0.060074243,0.211111111,,
号146,0.144948974,7.592046,26.62949594,0.061243517,0.214814815,,
号150,0.144948974,7.736995,27.08862518,0.062412792,0.218518519,,
