号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号160,0.166666667,0.166666667,0.518635,0.001785313,0.005555556,,0.397981324
号30,0.166666667,0.333333333,1.03727,0.003570626,0.011111111,,
号126,0.166666667,0.5,1.555905,0.00535594,0.016666667,,
号28,0.166666667,0.666666667,2.07454,0.007141253,0.022222222,,
号110,0.166666667,0.833333333,2.593175,0.008926566,0.027777778,,
号124,0.166666667,1,3.11181,0.010711879,0.033333333,,
号26,0.166666667,1.166666667,3.630445,0.012497193,0.038888889,,
号122,0.166666667,1.333333333,4.14908,0.014282506,0.044444444,,
号24,0.166666667,1.5,4.667715,0.016067819,0.05,,
号22,0.166666667,1.666666667,5.18635,0.017853132,0.055555556,,
号112,0.166666667,1.833333333,5.704985,0.019638446,0.061111111,,
号158,0.166666667,2,6.22362,0.021423759,0.066666667,,
号120,0.166666667,2.166666667,6.742255,0.023209072,0.072222222,,
号20,0.166666667,2.333333333,7.26089,0.024994385,0.077777778,,
号114,0.166666667,2.5,7.779525,0.026779698,0.083333333,,
号162,0.166666667,2.666666667,8.29816,0.028565012,0.088888889,,
号154,0.166666667,2.833333333,8.816795,0.030350325,0.094444444,,
号108,0.166666667,3,9.33543,0.032135638,0.1,,
号118,0.166666667,3.166666667,9.854065,0.033920951,0.105555556,,
号156,0.166666667,3.333333333,10.3727,0.035706265,0.111111111,,
号116,0.166666667,3.5,10.891335,0.037491578,0.116666667,,
号78,0.166666667,3.666666667,11.40997,0.039276891,0.122222222,,
号152,0.166666667,3.833333333,11.928605,0.041062204,0.127777778,,
号32,0.166666667,4,12.44724,0.042847517,0.133333333,,
号88,0.166666667,4.166666667,12.965875,0.044632831,0.138888889,,
号76,0.166666667,4.333333333,13.48451,0.046418144,0.144444444,,
号80,0.166666667,4.5,14.003145,0.048203457,0.15,,
号74,0.166666667,4.666666667,14.52178,0.04998877,0.155555556,,
号72,0.166666667,4.833333333,15.040415,0.051774084,0.161111111,,
号82,0.166666667,5,15.55905,0.053559397,0.166666667,,
号70,0.166666667,5.166666667,16.077685,0.05534471,0.172222222,,
号68,0.166666667,5.333333333,16.59632,0.057130023,0.177777778,,
号84,0.166666667,5.5,17.114955,0.058915337,0.183333333,,
号66,0.166666667,5.666666667,17.63359,0.06070065,0.188888889,,
号64,0.166666667,5.833333333,18.152225,0.062485963,0.194444444,,
号86,0.166666667,6,18.67086,0.064271276,0.2,,
号62,0.166666667,6.166666667,19.189495,0.066056589,0.205555556,,
号60,0.166666667,6.333333333,19.70813,0.067841903,0.211111111,,
号58,0.166666667,6.5,20.226765,0.069627216,0.216666667,,
号34,0.166666667,6.666666667,20.7454,0.071412529,0.222222222,,
号56,0.166666667,6.833333333,21.264035,0.073197842,0.227777778,,
号92,0.166666667,7,21.78267,0.074983156,0.233333333,,
号94,0.166666667,7.166666667,22.301305,0.076768469,0.238888889,,
号146,0.166666667,7.333333333,22.81994,0.078553782,0.244444444,,
号96,0.166666667,7.5,23.338575,0.080339095,0.25,,
号148,0.166666667,7.666666667,23.85721,0.082124408,0.255555556,,
号98,0.166666667,7.833333333,24.375845,0.083909722,0.261111111,,
号100,0.166666667,8,24.89448,0.085695035,0.266666667,,
号150,0.166666667,8.166666667,25.413115,0.087480348,0.272222222,,
号102,0.166666667,8.333333333,25.93175,0.089265661,0.277777778,,
号104,0.166666667,8.5,26.450385,0.091050975,0.283333333,,
号36,0.166666667,8.666666667,26.96902,0.092836288,0.288888889,,
号106,0.166666667,8.833333333,27.487655,0.094621601,0.294444444,,
号90,0.166666667,9,28.00629,0.096406914,0.3,,
号65,0.25,9.25,28.524925,0.099084884,0.305555556,,
号147,0.25,9.5,29.04356,0.101762854,0.311111111,,
号145,0.25,9.75,29.562195,0.104440824,0.316666667,,
号63,0.25,10,30.08083,0.107118794,0.322222222,,
号73,0.25,10.25,30.599465,0.109796764,0.327777778,,
号55,0.25,10.5,31.1181,0.112474733,0.333333333,,
号71,0.25,10.75,31.636735,0.115152703,0.338888889,,
号57,0.25,11,32.15537,0.117830673,0.344444444,,
号59,0.25,11.25,32.674005,0.120508643,0.35,,
号61,0.25,11.5,33.19264,0.123186613,0.355555556,,
号69,0.25,11.75,33.711275,0.125864583,0.361111111,,
号33,0.25,12,34.22991,0.128542552,0.366666667,,
号149,0.25,12.25,34.748545,0.131220522,0.372222222,,
号23,0.25,12.5,35.26718,0.133898492,0.377777778,,
号161,0.25,12.75,35.785815,0.136576462,0.383333333,,
号159,0.25,13,36.30445,0.139254432,0.388888889,,
号157,0.25,13.25,36.823085,0.141932402,0.394444444,,
号155,0.25,13.5,37.34172,0.144610371,0.4,,
号19,0.25,13.75,37.860355,0.147288341,0.405555556,,
号21,0.25,14,38.37899,0.149966311,0.411111111,,
号25,0.25,14.25,38.897625,0.152644281,0.416666667,,
号151,0.25,14.5,39.41626,0.155322251,0.422222222,,
号27,0.25,14.75,39.934895,0.158000221,0.427777778,,
号29,0.25,15,40.45353,0.160678191,0.433333333,,
号31,0.25,15.25,40.972165,0.16335616,0.438888889,,
号77,0.25,15.5,41.4908,0.16603413,0.444444444,,
号35,0.25,15.75,42.009435,0.1687121,0.45,,
号153,0.25,16,42.52807,0.17139007,0.455555556,,
号75,0.25,16.25,43.046705,0.17406804,0.461111111,,
号67,0.25,16.5,43.56534,0.17674601,0.466666667,,
号91,0.25,16.75,44.083975,0.179423979,0.472222222,,
