号ID,政紫亀,刊旋 政紫亀,鋭去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋 政紫亀 搾晴,,走艦域呪
号114,0.166666667,5.5,21.649925,0.031049633,0.122222222,,
号117,0.166666667,5.666666667,22.30598333,0.031990531,0.125925926,,
号219,0.166666667,5.833333333,22.96204167,0.032931429,0.12962963,,
号120,0.166666667,6,23.6181,0.033872327,0.133333333,,
号123,0.166666667,6.166666667,24.27415833,0.034813225,0.137037037,,
号126,0.166666667,6.333333333,24.93021667,0.035754123,0.140740741,,
号36,0.166666667,6.5,25.586275,0.036695021,0.144444444,,
号129,0.166666667,6.666666667,26.24233333,0.037635919,0.148148148,,
号225,0.166666667,6.833333333,26.89839167,0.038576817,0.151851852,,
号54,0.166666667,7,27.55445,0.039517715,0.155555556,,
号132,0.166666667,7.166666667,28.21050833,0.040458612,0.159259259,,
号51,0.166666667,7.333333333,28.86656667,0.04139951,0.162962963,,
号189,0.166666667,7.5,29.522625,0.042340408,0.166666667,,
号48,0.166666667,7.666666667,30.17868333,0.043281306,0.17037037,,
号138,0.166666667,7.833333333,30.83474167,0.044222204,0.174074074,,
号45,0.166666667,8,31.4908,0.045163102,0.177777778,,
号141,0.166666667,8.166666667,32.14685833,0.046104,0.181481481,,
号42,0.166666667,8.333333333,32.80291667,0.047044898,0.185185185,,
号144,0.166666667,8.5,33.458975,0.047985796,0.188888889,,
号39,0.166666667,8.666666667,34.11503333,0.048926694,0.192592593,,
号147,0.166666667,8.833333333,34.77109167,0.049867592,0.196296296,,
号135,0.166666667,9,35.42715,0.05080849,0.2,,
号83,0.25,9.25,36.08320833,0.052219837,0.203703704,,
号236,0.25,9.5,36.73926667,0.053631184,0.207407407,,
号242,0.25,9.75,37.395325,0.055042531,0.211111111,,
号239,0.25,10,38.05138333,0.056453878,0.214814815,,
号47,0.25,10.25,38.70744167,0.057865225,0.218518519,,
号233,0.25,10.5,39.3635,0.059276572,0.222222222,,
号230,0.25,10.75,40.01955833,0.060687919,0.225925926,,
号227,0.25,11,40.67561667,0.062099266,0.22962963,,
号29,0.25,11.25,41.331675,0.063510613,0.233333333,,
号32,0.25,11.5,41.98773333,0.06492196,0.237037037,,
号218,0.25,11.75,42.64379167,0.066333307,0.240740741,,
号35,0.25,12,43.29985,0.067744653,0.244444444,,
号221,0.25,12.25,43.95590833,0.069156,0.248148148,,
号38,0.25,12.5,44.61196667,0.070567347,0.251851852,,
号41,0.25,12.75,45.268025,0.071978694,0.255555556,,
号224,0.25,13,45.92408333,0.073390041,0.259259259,,
号53,0.25,13.25,46.58014167,0.074801388,0.262962963,,
号44,0.25,13.5,47.2362,0.076212735,0.266666667,,
号50,0.25,13.75,47.89225833,0.077624082,0.27037037,,
号86,0.25,14,48.54831667,0.079035429,0.274074074,,
号188,0.25,14.25,49.204375,0.080446776,0.277777778,,
号140,0.25,14.5,49.86043333,0.081858123,0.281481481,,
号134,0.25,14.75,50.51649167,0.08326947,0.285185185,,
号119,0.25,15,51.17255,0.084680817,0.288888889,,
号122,0.25,15.25,51.82860833,0.086092164,0.292592593,,
号125,0.25,15.5,52.48466667,0.087503511,0.296296296,,
号128,0.25,15.75,53.140725,0.088914858,0.3,,
号167,0.25,16,53.79678333,0.090326205,0.303703704,,
号131,0.25,16.25,54.45284167,0.091737552,0.307407407,,
号164,0.25,16.5,55.1089,0.093148899,0.311111111,,
号161,0.25,16.75,55.76495833,0.094560245,0.314814815,,
号116,0.25,17,56.42101667,0.095971592,0.318518519,,
号137,0.25,17.25,57.077075,0.097382939,0.322222222,,
号89,0.25,17.5,57.73313333,0.098794286,0.325925926,,
号158,0.25,17.75,58.38919167,0.100205633,0.32962963,,
号143,0.25,18,59.04525,0.10161698,0.333333333,,
号155,0.25,18.25,59.70130833,0.103028327,0.337037037,,
号146,0.25,18.5,60.35736667,0.104439674,0.340740741,,
号152,0.25,18.75,61.013425,0.105851021,0.344444444,,
号173,0.25,19,61.66948333,0.107262368,0.348148148,,
号170,0.25,19.25,62.32554167,0.108673715,0.351851852,,
号149,0.25,19.5,62.9816,0.110085062,0.355555556,,
号98,0.25,19.75,63.63765833,0.111496409,0.359259259,,
号101,0.25,20,64.29371667,0.112907756,0.362962963,,
号113,0.25,20.25,64.949775,0.114319103,0.366666667,,
号179,0.25,20.5,65.60583333,0.11573045,0.37037037,,
号104,0.25,20.75,66.26189167,0.117141797,0.374074074,,
号182,0.25,21,66.91795,0.118553144,0.377777778,,
号95,0.25,21.25,67.57400833,0.119964491,0.381481481,,
号107,0.25,21.5,68.23006667,0.121375837,0.385185185,,
号92,0.25,21.75,68.886125,0.122787184,0.388888889,,
号176,0.25,22,69.54218333,0.124198531,0.392592593,,
号110,0.25,22.25,70.19824167,0.125609878,0.396296296,,
号185,0.25,22.5,70.8543,0.127021225,0.4,,
号220,0.5,23,71.51035833,0.129843919,0.403703704,,
号121,0.5,23.5,72.16641667,0.132666613,0.407407407,,
号94,0.5,24,72.822475,0.135489307,0.411111111,,
号124,0.5,24.5,73.47853333,0.138312001,0.414814815,,
号223,0.5,25,74.13459167,0.141134695,0.418518519,,
号127,0.5,25.5,74.79065,0.143957389,0.422222222,,
号130,0.5,26,75.44670833,0.146780083,0.425925926,,
号52,0.5,26.5,76.10276667,0.149602776,0.42962963,,
号133,0.5,27,76.758825,0.15242547,0.433333333,,
号118,0.5,27.5,77.41488333,0.155248164,0.437037037,,
号106,0.5,28,78.07094167,0.158070858,0.440740741,,
号217,0.5,28.5,78.727,0.160893552,0.444444444,,
号115,0.5,29,79.38305833,0.163716246,0.448148148,,
号112,0.5,29.5,80.03911667,0.16653894,0.451851852,,
号109,0.5,30,80.695175,0.169361634,0.455555556,,
号136,0.5,30.5,81.35123333,0.172184328,0.459259259,,
号103,0.5,31,82.00729167,0.175007021,0.462962963,,
号100,0.5,31.5,82.66335,0.177829715,0.466666667,,
号97,0.5,32,83.31940833,0.180652409,0.47037037,,
号187,0.5,32.5,83.97546667,0.183475103,0.474074074,,
号82,0.5,33,84.631525,0.186297797,0.477777778,,
号91,0.5,33.5,85.28758333,0.189120491,0.481481481,,
号85,0.5,34,85.94364167,0.191943185,0.485185185,,
号49,0.5,34.5,86.5997,0.194765879,0.488888889,,
号46,0.5,35,87.25575833,0.197588573,0.492592593,,
号28,0.5,35.5,87.91181667,0.200411267,0.496296296,,
号166,0.5,36,88.567875,0.20323396,0.5,,
号163,0.5,36.5,89.22393333,0.206056654,0.503703704,,
号235,0.5,37,89.87999167,0.208879348,0.507407407,,
号229,0.5,37.5,90.53605,0.211702042,0.511111111,,
号160,0.5,38,91.19210833,0.214524736,0.514814815,,
号226,0.5,38.5,91.84816667,0.21734743,0.518518519,,
号157,0.5,39,92.504225,0.220170124,0.522222222,,
号88,0.5,39.5,93.16028333,0.222992818,0.525925926,,
号169,0.5,40,93.81634167,0.225815512,0.52962963,,
号154,0.5,40.5,94.4724,0.228638205,0.533333333,,
号31,0.5,41,95.12845833,0.231460899,0.537037037,,
号238,0.5,41.5,95.78451667,0.234283593,0.540740741,,
号151,0.5,42,96.440575,0.237106287,0.544444444,,
号34,0.5,42.5,97.09663333,0.239928981,0.548148148,,
号172,0.5,43,97.75269167,0.242751675,0.551851852,,
号148,0.5,43.5,98.40875,0.245574369,0.555555556,,
号241,0.5,44,99.06480833,0.248397063,0.559259259,,
号139,0.5,44.5,99.72086667,0.251219757,0.562962963,,
号184,0.5,45,100.376925,0.25404245,0.566666667,,
号181,0.5,45.5,101.0329833,0.256865144,0.57037037,,
号43,0.5,46,101.6890417,0.259687838,0.574074074,,
号142,0.5,46.5,102.3451,0.262510532,0.577777778,,
号178,0.5,47,103.0011583,0.265333226,0.581481481,,
号175,0.5,47.5,103.6572167,0.26815592,0.585185185,,
号40,0.5,48,104.313275,0.270978614,0.588888889,,
号145,0.5,48.5,104.9693333,0.273801308,0.592592593,,
号37,0.5,49,105.6253917,0.276624002,0.596296296,,
号232,0.5,49.5,106.28145,0.279446696,0.6,,
号192,0.75035,50.25035,106.9375083,0.283682712,0.603703704,,
号195,0.75035,51.0007,107.5935667,0.287918729,0.607407407,,
号213,0.75035,51.75105,108.249625,0.292154746,0.611111111,,
号198,0.75035,52.5014,108.9056833,0.296390762,0.614814815,,
号201,0.75035,53.25175,109.5617417,0.300626779,0.618518519,,
号216,0.75035,54.0021,110.2178,0.304862796,0.622222222,,
号204,0.75035,54.75245,110.8738583,0.309098813,0.625925926,,
号210,0.75035,55.5028,111.5299167,0.313334829,0.62962963,,
号207,0.75035,56.25315,112.185975,0.317570846,0.633333333,,
号78,0.8302,57.08335,112.8420333,0.322257647,0.637037037,,
号57,0.8302,57.91355,113.4980917,0.326944448,0.640740741,,
号75,0.8302,58.74375,114.15415,0.331631249,0.644444444,,
号60,0.8302,59.57395,114.8102083,0.33631805,0.648148148,,
号66,0.8302,60.40415,115.4662667,0.341004851,0.651851852,,
号81,0.8302,61.23435,116.122325,0.345691652,0.655555556,,
号69,0.8302,62.06455,116.7783833,0.350378453,0.659259259,,
号63,0.8302,62.89475,117.4344417,0.355065254,0.662962963,,
号72,0.8302,63.72495,118.0905,0.359752055,0.666666667,,
号270,0.8558,64.58075,118.7465583,0.364583377,0.67037037,,
号267,0.8558,65.43655,119.4026167,0.3694147,0.674074074,,
号264,0.8558,66.29235,120.058675,0.374246023,0.677777778,,
号261,0.8558,67.14815,120.7147333,0.379077346,0.681481481,,
号258,0.8558,68.00395,121.3707917,0.383908669,0.685185185,,
号255,0.8558,68.85975,122.02685,0.388739992,0.688888889,,
号252,0.8558,69.71555,122.6829083,0.393571315,0.692592593,,
号249,0.8558,70.57135,123.3389667,0.398402638,0.696296296,,
号246,0.8558,71.42715,123.995025,0.40323396,0.7,,
号6,1,72.42715,124.6510833,0.408879348,0.703703704,,
号9,1,73.42715,125.3071417,0.414524736,0.707407407,,
号3,1,74.42715,125.9632,0.420170124,0.711111111,,
号12,1,75.42715,126.6192583,0.425815512,0.714814815,,
号27,1,76.42715,127.2753167,0.431460899,0.718518519,,
号15,1,77.42715,127.931375,0.437106287,0.722222222,,
号24,1,78.42715,128.5874333,0.442751675,0.725925926,,
号21,1,79.42715,129.2434917,0.448397063,0.72962963,,
号18,1,80.42715,129.89955,0.45404245,0.733333333,,
号197,1.00035,81.4275,130.5556083,0.459689814,0.737037037,,
号194,1.00035,82.42785,131.2116667,0.465337178,0.740740741,,
号200,1.00035,83.4282,131.867725,0.470984542,0.744444444,,
号191,1.00035,84.42855,132.5237833,0.476631905,0.748148148,,
号212,1.00035,85.4289,133.1798417,0.482279269,0.751851852,,
号203,1.00035,86.42925,133.8359,0.487926633,0.755555556,,
号206,1.00035,87.4296,134.4919583,0.493573996,0.759259259,,
号209,1.00035,88.42995,135.1480167,0.49922136,0.762962963,,
号215,1.00035,89.4303,135.804075,0.504868724,0.766666667,,
号65,1.0802,90.5105,136.4601333,0.510966871,0.77037037,,
号68,1.0802,91.5907,137.1161917,0.517065019,0.774074074,,
号77,1.0802,92.6709,137.77225,0.523163167,0.777777778,,
号62,1.0802,93.7511,138.4283083,0.529261315,0.781481481,,
号59,1.0802,94.8313,139.0843667,0.535359463,0.785185185,,
号56,1.0802,95.9115,139.740425,0.541457611,0.788888889,,
号71,1.0802,96.9917,140.3964833,0.547555759,0.792592593,,
号80,1.0802,98.0719,141.0525417,0.553653907,0.796296296,,
号74,1.0802,99.1521,141.7086,0.559752055,0.8,,
号257,1.1058,100.2579,142.3646583,0.565994724,0.803703704,,
号260,1.1058,101.3637,143.0207167,0.572237394,0.807407407,,
号254,1.1058,102.4695,143.676775,0.578480064,0.811111111,,
号263,1.1058,103.5753,144.3328333,0.584722734,0.814814815,,
号251,1.1058,104.6811,144.9888917,0.590965404,0.818518519,,
号248,1.1058,105.7869,145.64495,0.597208073,0.822222222,,
