号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号28 ,2,2,2.1,0.003527337,0.003703704,,0.042698998
号29 ,2,4,4.2,0.007054674,0.007407407,,
号30 ,2,6,6.3,0.010582011,0.011111111,,
号31 ,2,8,8.4,0.014109347,0.014814815,,
号32 ,2,10,10.5,0.017636684,0.018518519,,
号33 ,2,12,12.6,0.021164021,0.022222222,,
号34 ,2,14,14.7,0.024691358,0.025925926,,
号35 ,2,16,16.8,0.028218695,0.02962963,,
号36 ,2,18,18.9,0.031746032,0.033333333,,
号37 ,2,20,21,0.035273369,0.037037037,,
号38 ,2,22,23.1,0.038800705,0.040740741,,
号39 ,2,24,25.2,0.042328042,0.044444444,,
号40 ,2,26,27.3,0.045855379,0.048148148,,
号41 ,2,28,29.4,0.049382716,0.051851852,,
号42 ,2,30,31.5,0.052910053,0.055555556,,
号43 ,2,32,33.6,0.05643739,0.059259259,,
号44 ,2,34,35.7,0.059964727,0.062962963,,
号45 ,2,36,37.8,0.063492063,0.066666667,,
号46 ,2,38,39.9,0.0670194,0.07037037,,
号47 ,2,40,42,0.070546737,0.074074074,,
号48 ,2,42,44.1,0.074074074,0.077777778,,
号49 ,2,44,46.2,0.077601411,0.081481481,,
号50 ,2,46,48.3,0.081128748,0.085185185,,
号51 ,2,48,50.4,0.084656085,0.088888889,,
号52 ,2,50,52.5,0.088183422,0.092592593,,
号53 ,2,52,54.6,0.091710758,0.096296296,,
号54 ,2,54,56.7,0.095238095,0.1,,
号55 ,2,56,58.8,0.098765432,0.103703704,,
号56 ,2,58,60.9,0.102292769,0.107407407,,
号57 ,2,60,63,0.105820106,0.111111111,,
号58 ,2,62,65.1,0.109347443,0.114814815,,
号59 ,2,64,67.2,0.11287478,0.118518519,,
号60 ,2,66,69.3,0.116402116,0.122222222,,
号61 ,2,68,71.4,0.119929453,0.125925926,,
号62 ,2,70,73.5,0.12345679,0.12962963,,
号63 ,2,72,75.6,0.126984127,0.133333333,,
号64 ,2,74,77.7,0.130511464,0.137037037,,
号65 ,2,76,79.8,0.134038801,0.140740741,,
号66 ,2,78,81.9,0.137566138,0.144444444,,
号67 ,2,80,84,0.141093474,0.148148148,,
号68 ,2,82,86.1,0.144620811,0.151851852,,
号69 ,2,84,88.2,0.148148148,0.155555556,,
号70 ,2,86,90.3,0.151675485,0.159259259,,
号71 ,2,88,92.4,0.155202822,0.162962963,,
号72 ,2,90,94.5,0.158730159,0.166666667,,
