号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号74,0.130601937,0.130601937,0.434661571,0.002503901,0.008333333,,0.410699369
号42,0.130601937,0.261203875,0.869323142,0.005007802,0.016666667,,
号78,0.130601937,0.391805812,1.303984713,0.007511703,0.025,,
号82,0.130601937,0.52240775,1.738646283,0.010015603,0.033333333,,
号106,0.130601937,0.653009687,2.173307854,0.012519504,0.041666667,,
号66,0.130601937,0.783611625,2.607969425,0.015023405,0.05,,
号14,0.130601937,0.914213562,3.042630996,0.017527306,0.058333333,,
号70,0.130601937,1.0448155,3.477292567,0.020031207,0.066666667,,
号18,0.130601937,1.175417437,3.911954138,0.022535108,0.075,,
号22,0.130601937,1.306019375,4.346615709,0.025039009,0.083333333,,
号62,0.130601937,1.436621312,4.78127728,0.027542909,0.091666667,,
号102,0.130601937,1.56722325,5.21593885,0.03004681,0.1,,
号58,0.130601937,1.697825187,5.650600421,0.032550711,0.108333333,,
号54,0.130601937,1.828427125,6.085261992,0.035054612,0.116666667,,
号50,0.130601937,1.959029062,6.519923563,0.037558513,0.125,,
号46,0.130601937,2.089631,6.954585134,0.040062414,0.133333333,,
号38,0.130601937,2.220232937,7.389246705,0.042566315,0.141666667,,
号98,0.130601937,2.350834875,7.823908276,0.045070215,0.15,,
号37,0.154508497,2.505343372,8.258569847,0.048032453,0.158333333,,
号49,0.154508497,2.659851869,8.693231417,0.05099469,0.166666667,,
号16,0.154508497,2.814360366,9.127892988,0.053956928,0.175,,
号104,0.154508497,2.968868863,9.562554559,0.056919165,0.183333333,,
号105,0.154508497,3.123377361,9.99721613,0.059881403,0.191666667,,
号24,0.154508497,3.277885858,10.4318777,0.06284364,0.2,,
号21,0.154508497,3.432394355,10.86653927,0.065805878,0.208333333,,
号20,0.154508497,3.586902852,11.30120084,0.068768115,0.216666667,,
号17,0.154508497,3.741411349,11.73586241,0.071730353,0.225,,
号41,0.154508497,3.895919847,12.17052398,0.074692591,0.233333333,,
号13,0.154508497,4.050428344,12.60518556,0.077654828,0.241666667,,
号108,0.154508497,4.204936841,13.03984713,0.080617066,0.25,,
号40,0.154508497,4.359445338,13.4745087,0.083579303,0.258333333,,
号60,0.154508497,4.513953835,13.90917027,0.086541541,0.266666667,,
号81,0.154508497,4.668462332,14.34383184,0.089503778,0.275,,
号69,0.154508497,4.82297083,14.77849341,0.092466016,0.283333333,,
号68,0.154508497,4.977479327,15.21315498,0.095428253,0.291666667,,
