号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号20 ,2,2,2.433333333,0.00456621,0.005555556,,0.111254068
号21 ,2,4,4.866666667,0.00913242,0.011111111,,
号23 ,2,6,7.3,0.01369863,0.016666667,,
号24 ,2,8,9.733333333,0.01826484,0.022222222,,
号26 ,2,10,12.16666667,0.02283105,0.027777778,,
号27 ,2,12,14.6,0.02739726,0.033333333,,
号29 ,2,14,17.03333333,0.03196347,0.038888889,,
号30 ,2,16,19.46666667,0.03652968,0.044444444,,
号32 ,2,18,21.9,0.04109589,0.05,,
号33 ,2,20,24.33333333,0.0456621,0.055555556,,
号35 ,2,22,26.76666667,0.050228311,0.061111111,,
号36 ,2,24,29.2,0.054794521,0.066666667,,
号38 ,2,26,31.63333333,0.059360731,0.072222222,,
号39 ,2,28,34.06666667,0.063926941,0.077777778,,
号41 ,2,30,36.5,0.068493151,0.083333333,,
号42 ,2,32,38.93333333,0.073059361,0.088888889,,
号44 ,2,34,41.36666667,0.077625571,0.094444444,,
号45 ,2,36,43.8,0.082191781,0.1,,
号47 ,2,38,46.23333333,0.086757991,0.105555556,,
号48 ,2,40,48.66666667,0.091324201,0.111111111,,
号50 ,2,42,51.1,0.095890411,0.116666667,,
号51 ,2,44,53.53333333,0.100456621,0.122222222,,
号53 ,2,46,55.96666667,0.105022831,0.127777778,,
号54 ,2,48,58.4,0.109589041,0.133333333,,
号56 ,2,50,60.83333333,0.114155251,0.138888889,,
号57 ,2,52,63.26666667,0.118721461,0.144444444,,
号59 ,2,54,65.7,0.123287671,0.15,,
号60 ,2,56,68.13333333,0.127853881,0.155555556,,
号62 ,2,58,70.56666667,0.132420091,0.161111111,,
号63 ,2,60,73,0.136986301,0.166666667,,
号65 ,2,62,75.43333333,0.141552511,0.172222222,,
号66 ,2,64,77.86666667,0.146118721,0.177777778,,
号68 ,2,66,80.3,0.150684932,0.183333333,,
号69 ,2,68,82.73333333,0.155251142,0.188888889,,
号71 ,2,70,85.16666667,0.159817352,0.194444444,,
号72 ,2,72,87.6,0.164383562,0.2,,
号74 ,2,74,90.03333333,0.168949772,0.205555556,,
号75 ,2,76,92.46666667,0.173515982,0.211111111,,
号77 ,2,78,94.9,0.178082192,0.216666667,,
号78 ,2,80,97.33333333,0.182648402,0.222222222,,
号80 ,2,82,99.76666667,0.187214612,0.227777778,,
号81 ,2,84,102.2,0.191780822,0.233333333,,
号83 ,2,86,104.6333333,0.196347032,0.238888889,,
号84 ,2,88,107.0666667,0.200913242,0.244444444,,
号86 ,2,90,109.5,0.205479452,0.25,,
号87 ,2,92,111.9333333,0.210045662,0.255555556,,
号89 ,2,94,114.3666667,0.214611872,0.261111111,,
号90 ,2,96,116.8,0.219178082,0.266666667,,
号92 ,2,98,119.2333333,0.223744292,0.272222222,,
号93 ,2,100,121.6666667,0.228310502,0.277777778,,
号95 ,2,102,124.1,0.232876712,0.283333333,,
号96 ,2,104,126.5333333,0.237442922,0.288888889,,
