号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号29 ,2,2,2.766666667,0.002677376,0.003703704,,0.13768728
号30 ,2,4,5.533333333,0.005354752,0.007407407,,
号32 ,2,6,8.3,0.008032129,0.011111111,,
号33 ,2,8,11.06666667,0.010709505,0.014814815,,
号38 ,2,10,13.83333333,0.013386881,0.018518519,,
号39 ,2,12,16.6,0.016064257,0.022222222,,
号41 ,2,14,19.36666667,0.018741633,0.025925926,,
号42 ,2,16,22.13333333,0.021419009,0.02962963,,
号47 ,2,18,24.9,0.024096386,0.033333333,,
号48 ,2,20,27.66666667,0.026773762,0.037037037,,
号50 ,2,22,30.43333333,0.029451138,0.040740741,,
号51 ,2,24,33.2,0.032128514,0.044444444,,
号56 ,2,26,35.96666667,0.03480589,0.048148148,,
号57 ,2,28,38.73333333,0.037483266,0.051851852,,
号59 ,2,30,41.5,0.040160643,0.055555556,,
号60 ,2,32,44.26666667,0.042838019,0.059259259,,
号65 ,2,34,47.03333333,0.045515395,0.062962963,,
号66 ,2,36,49.8,0.048192771,0.066666667,,
号68 ,2,38,52.56666667,0.050870147,0.07037037,,
号69 ,2,40,55.33333333,0.053547523,0.074074074,,
号74 ,2,42,58.1,0.0562249,0.077777778,,
号75 ,2,44,60.86666667,0.058902276,0.081481481,,
号77 ,2,46,63.63333333,0.061579652,0.085185185,,
号78 ,2,48,66.4,0.064257028,0.088888889,,
号83 ,2,50,69.16666667,0.066934404,0.092592593,,
号84 ,2,52,71.93333333,0.06961178,0.096296296,,
号86 ,2,54,74.7,0.072289157,0.1,,
号87 ,2,56,77.46666667,0.074966533,0.103703704,,
号92 ,2,58,80.23333333,0.077643909,0.107407407,,
号93 ,2,60,83,0.080321285,0.111111111,,
号95 ,2,62,85.76666667,0.082998661,0.114814815,,
号96 ,2,64,88.53333333,0.085676037,0.118518519,,
号101 ,2,66,91.3,0.088353414,0.122222222,,
号102 ,2,68,94.06666667,0.09103079,0.125925926,,
号104 ,2,70,96.83333333,0.093708166,0.12962963,,
号105 ,2,72,99.6,0.096385542,0.133333333,,
号110 ,2,74,102.3666667,0.099062918,0.137037037,,
号111 ,2,76,105.1333333,0.101740295,0.140740741,,
号113 ,2,78,107.9,0.104417671,0.144444444,,
号114 ,2,80,110.6666667,0.107095047,0.148148148,,
号119 ,2,82,113.4333333,0.109772423,0.151851852,,
号120 ,2,84,116.2,0.112449799,0.155555556,,
号122 ,2,86,118.9666667,0.115127175,0.159259259,,
号123 ,2,88,121.7333333,0.117804552,0.162962963,,
号128 ,2,90,124.5,0.120481928,0.166666667,,
号129 ,2,92,127.2666667,0.123159304,0.17037037,,
号131 ,2,94,130.0333333,0.12583668,0.174074074,,
号132 ,2,96,132.8,0.128514056,0.177777778,,
号137 ,2,98,135.5666667,0.131191432,0.181481481,,
号138 ,2,100,138.3333333,0.133868809,0.185185185,,
号140 ,2,102,141.1,0.136546185,0.188888889,,
号141 ,2,104,143.8666667,0.139223561,0.192592593,,
号146 ,2,106,146.6333333,0.141900937,0.196296296,,
号147 ,2,108,149.4,0.144578313,0.2,,
号149 ,2,110,152.1666667,0.147255689,0.203703704,,
号150 ,2,112,154.9333333,0.149933066,0.207407407,,
号155 ,2,114,157.7,0.152610442,0.211111111,,
号156 ,2,116,160.4666667,0.155287818,0.214814815,,
号158 ,2,118,163.2333333,0.157965194,0.218518519,,
号159 ,2,120,166,0.16064257,0.222222222,,
号164 ,2,122,168.7666667,0.163319946,0.225925926,,
号165 ,2,124,171.5333333,0.165997323,0.22962963,,
号167 ,2,126,174.3,0.168674699,0.233333333,,
号168 ,2,128,177.0666667,0.171352075,0.237037037,,
号173 ,2,130,179.8333333,0.174029451,0.240740741,,
号174 ,2,132,182.6,0.176706827,0.244444444,,
号176 ,2,134,185.3666667,0.179384203,0.248148148,,
