号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号105,0.130601937,0.130601937,0.462652714,0.001568274,0.005555556,,0.413567734
号117,0.130601937,0.261203875,0.925305428,0.003136548,0.011111111,,
号111,0.130601937,0.391805812,1.387958142,0.004704823,0.016666667,,
号123,0.130601937,0.52240775,1.850610856,0.006273097,0.022222222,,
号147,0.130601937,0.653009687,2.31326357,0.007841371,0.027777778,,
号21,0.130601937,0.783611625,2.775916283,0.009409645,0.033333333,,
号159,0.130601937,0.914213562,3.238568997,0.010977919,0.038888889,,
号99,0.130601937,1.0448155,3.701221711,0.012546194,0.044444444,,
号93,0.130601937,1.175417437,4.163874425,0.014114468,0.05,,
号87,0.130601937,1.306019375,4.626527139,0.015682742,0.055555556,,
号81,0.130601937,1.436621312,5.089179853,0.017251016,0.061111111,,
号27,0.130601937,1.56722325,5.551832567,0.018819291,0.066666667,,
号75,0.130601937,1.697825187,6.014485281,0.020387565,0.072222222,,
号33,0.130601937,1.828427125,6.477137995,0.021955839,0.077777778,,
号63,0.130601937,1.959029062,6.939790709,0.023524113,0.083333333,,
号153,0.130601937,2.089631,7.402443423,0.025092387,0.088888889,,
号57,0.130601937,2.220232937,7.865096137,0.026660662,0.094444444,,
号69,0.130601937,2.350834875,8.32774885,0.028228936,0.1,,
号20,0.154508497,2.505343372,8.790401564,0.030084281,0.105555556,,
号150,0.154508497,2.659851869,9.253054278,0.031939626,0.111111111,,
号162,0.154508497,2.814360366,9.715706992,0.033794972,0.116666667,,
号158,0.154508497,2.968868863,10.17835971,0.035650317,0.122222222,,
号24,0.154508497,3.123377361,10.64101242,0.037505662,0.127777778,,
号156,0.154508497,3.277885858,11.10366513,0.039361008,0.133333333,,
号152,0.154508497,3.432394355,11.56631785,0.041216353,0.138888889,,
号30,0.154508497,3.586902852,12.02897056,0.043071698,0.144444444,,
号36,0.154508497,3.741411349,12.49162328,0.044927044,0.15,,
号32,0.154508497,3.895919847,12.95427599,0.046782389,0.155555556,,
号26,0.154508497,4.050428344,13.4169287,0.048637734,0.161111111,,
号90,0.154508497,4.204936841,13.87958142,0.050493079,0.166666667,,
号78,0.154508497,4.359445338,14.34223413,0.052348425,0.172222222,,
号116,0.154508497,4.513953835,14.80488685,0.05420377,0.177777778,,
号102,0.154508497,4.668462332,15.26753956,0.056059115,0.183333333,,
号108,0.154508497,4.82297083,15.73019227,0.057914461,0.188888889,,
号98,0.154508497,4.977479327,16.19284499,0.059769806,0.194444444,,
号96,0.154508497,5.131987824,16.6554977,0.061625151,0.2,,
号110,0.154508497,5.286496321,17.11815041,0.063480497,0.205555556,,
号92,0.154508497,5.441004818,17.58080313,0.065335842,0.211111111,,
号146,0.154508497,5.595513316,18.04345584,0.067191187,0.216666667,,
号86,0.154508497,5.750021813,18.50610856,0.069046532,0.222222222,,
号84,0.154508497,5.90453031,18.96876127,0.070901878,0.227777778,,
号114,0.154508497,6.059038807,19.43141398,0.072757223,0.233333333,,
号80,0.154508497,6.213547304,19.8940667,0.074612568,0.238888889,,
号104,0.154508497,6.368055802,20.35671941,0.076467914,0.244444444,,
号74,0.154508497,6.522564299,20.81937213,0.078323259,0.25,,
号72,0.154508497,6.677072796,21.28202484,0.080178604,0.255555556,,
号68,0.154508497,6.831581293,21.74467755,0.08203395,0.261111111,,
号120,0.154508497,6.98608979,22.20733027,0.083889295,0.266666667,,
号66,0.154508497,7.140598287,22.66998298,0.08574464,0.272222222,,
号122,0.154508497,7.295106785,23.1326357,0.087599985,0.277777778,,
号62,0.154508497,7.449615282,23.59528841,0.089455331,0.283333333,,
号60,0.154508497,7.604123779,24.05794112,0.091310676,0.288888889,,
号126,0.154508497,7.758632276,24.52059384,0.093166021,0.294444444,,
号56,0.154508497,7.913140773,24.98324655,0.095021367,0.3,,
号55,0.166666667,8.07980744,25.44589927,0.097022708,0.305555556,,
号145,0.166666667,8.246474107,25.90855198,0.099024049,0.311111111,,
号151,0.166666667,8.413140773,26.37120469,0.10102539,0.316666667,,
号109,0.166666667,8.57980744,26.83385741,0.103026731,0.322222222,,
号121,0.166666667,8.746474107,27.29651012,0.105028073,0.327777778,,
号61,0.166666667,8.913140773,27.75916283,0.107029414,0.333333333,,
号103,0.166666667,9.07980744,28.22181555,0.109030755,0.338888889,,
号25,0.166666667,9.246474107,28.68446826,0.111032096,0.344444444,,
号85,0.166666667,9.413140773,29.14712098,0.113033437,0.35,,
号19,0.166666667,9.57980744,29.60977369,0.115034778,0.355555556,,
号157,0.166666667,9.746474107,30.0724264,0.11703612,0.361111111,,
号31,0.166666667,9.913140773,30.53507912,0.119037461,0.366666667,,
号73,0.166666667,10.07980744,30.99773183,0.121038802,0.372222222,,
号91,0.166666667,10.24647411,31.46038455,0.123040143,0.377777778,,
号79,0.166666667,10.41314077,31.92303726,0.125041484,0.383333333,,
号115,0.166666667,10.57980744,32.38568997,0.127042825,0.388888889,,
号67,0.166666667,10.74647411,32.84834269,0.129044167,0.394444444,,
号97,0.166666667,10.91314077,33.3109954,0.131045508,0.4,,
号65,0.207106781,11.12024755,33.77364812,0.133532456,0.405555556,,
号35,0.207106781,11.32735434,34.23630083,0.136019404,0.411111111,,
号71,0.207106781,11.53446112,34.69895354,0.138506352,0.416666667,,
号125,0.207106781,11.7415679,35.16160626,0.1409933,0.422222222,,
号59,0.207106781,11.94867468,35.62425897,0.143480248,0.427777778,,
号29,0.207106781,12.15578146,36.08691169,0.145967196,0.433333333,,
号101,0.207106781,12.36288824,36.5495644,0.148454144,0.438888889,,
号77,0.207106781,12.56999502,37.01221711,0.150941092,0.444444444,,
号107,0.207106781,12.7771018,37.47486983,0.15342804,0.45,,
号95,0.207106781,12.98420859,37.93752254,0.155914988,0.455555556,,
号83,0.207106781,13.19131537,38.40017525,0.158401936,0.461111111,,
号23,0.207106781,13.39842215,38.86282797,0.160888884,0.466666667,,
号155,0.207106781,13.60552893,39.32548068,0.163375831,0.472222222,,
号89,0.207106781,13.81263571,39.7881334,0.165862779,0.477777778,,
号113,0.207106781,14.01974249,40.25078611,0.168349727,0.483333333,,
号149,0.207106781,14.22684927,40.71343882,0.170836675,0.488888889,,
号119,0.207106781,14.43395605,41.17609154,0.173323623,0.494444444,,
号161,0.207106781,14.64106283,41.63874425,0.175810571,0.5,,
号70,0.25,14.89106283,42.10139697,0.178812583,0.505555556,,
号22,0.25,15.14106283,42.56404968,0.181814595,0.511111111,,
号82,0.25,15.39106283,43.02670239,0.184816607,0.516666667,,
号28,0.25,15.64106283,43.48935511,0.187818618,0.522222222,,
