号ID,政紫亀,刊旋 政紫亀,液去 刊旋政紫亀,刊旋 政紫亀 搾晴,液去 刊旋政紫亀 搾晴,,走艦域呪
号29 ,2,2,2.433333333,0.00304414,0.003703704,,0.111459334
号30 ,2,4,4.866666667,0.00608828,0.007407407,,
号32 ,2,6,7.3,0.00913242,0.011111111,,
号33 ,2,8,9.733333333,0.01217656,0.014814815,,
号35 ,2,10,12.16666667,0.0152207,0.018518519,,
号36 ,2,12,14.6,0.01826484,0.022222222,,
号38 ,2,14,17.03333333,0.02130898,0.025925926,,
号39 ,2,16,19.46666667,0.02435312,0.02962963,,
号41 ,2,18,21.9,0.02739726,0.033333333,,
号42 ,2,20,24.33333333,0.0304414,0.037037037,,
号44 ,2,22,26.76666667,0.03348554,0.040740741,,
号45 ,2,24,29.2,0.03652968,0.044444444,,
号47 ,2,26,31.63333333,0.03957382,0.048148148,,
号48 ,2,28,34.06666667,0.04261796,0.051851852,,
号50 ,2,30,36.5,0.0456621,0.055555556,,
号51 ,2,32,38.93333333,0.04870624,0.059259259,,
号53 ,2,34,41.36666667,0.051750381,0.062962963,,
号54 ,2,36,43.8,0.054794521,0.066666667,,
号56 ,2,38,46.23333333,0.057838661,0.07037037,,
号57 ,2,40,48.66666667,0.060882801,0.074074074,,
号59 ,2,42,51.1,0.063926941,0.077777778,,
号60 ,2,44,53.53333333,0.066971081,0.081481481,,
号62 ,2,46,55.96666667,0.070015221,0.085185185,,
号63 ,2,48,58.4,0.073059361,0.088888889,,
号65 ,2,50,60.83333333,0.076103501,0.092592593,,
号66 ,2,52,63.26666667,0.079147641,0.096296296,,
号68 ,2,54,65.7,0.082191781,0.1,,
号69 ,2,56,68.13333333,0.085235921,0.103703704,,
号71 ,2,58,70.56666667,0.088280061,0.107407407,,
号72 ,2,60,73,0.091324201,0.111111111,,
号74 ,2,62,75.43333333,0.094368341,0.114814815,,
号75 ,2,64,77.86666667,0.097412481,0.118518519,,
号77 ,2,66,80.3,0.100456621,0.122222222,,
号78 ,2,68,82.73333333,0.103500761,0.125925926,,
号80 ,2,70,85.16666667,0.106544901,0.12962963,,
号81 ,2,72,87.6,0.109589041,0.133333333,,
号83 ,2,74,90.03333333,0.112633181,0.137037037,,
号84 ,2,76,92.46666667,0.115677321,0.140740741,,
号86 ,2,78,94.9,0.118721461,0.144444444,,
号87 ,2,80,97.33333333,0.121765601,0.148148148,,
号89 ,2,82,99.76666667,0.124809741,0.151851852,,
号90 ,2,84,102.2,0.127853881,0.155555556,,
号92 ,2,86,104.6333333,0.130898021,0.159259259,,
号93 ,2,88,107.0666667,0.133942161,0.162962963,,
号95 ,2,90,109.5,0.136986301,0.166666667,,
号96 ,2,92,111.9333333,0.140030441,0.17037037,,
号98 ,2,94,114.3666667,0.143074581,0.174074074,,
号99 ,2,96,116.8,0.146118721,0.177777778,,
号101 ,2,98,119.2333333,0.149162861,0.181481481,,
号102 ,2,100,121.6666667,0.152207002,0.185185185,,
号104 ,2,102,124.1,0.155251142,0.188888889,,
号105 ,2,104,126.5333333,0.158295282,0.192592593,,
号107 ,2,106,128.9666667,0.161339422,0.196296296,,
号108 ,2,108,131.4,0.164383562,0.2,,
号110 ,2,110,133.8333333,0.167427702,0.203703704,,
号111 ,2,112,136.2666667,0.170471842,0.207407407,,
号113 ,2,114,138.7,0.173515982,0.211111111,,
号114 ,2,116,141.1333333,0.176560122,0.214814815,,
号116 ,2,118,143.5666667,0.179604262,0.218518519,,
号117 ,2,120,146,0.182648402,0.222222222,,
号119 ,2,122,148.4333333,0.185692542,0.225925926,,
号120 ,2,124,150.8666667,0.188736682,0.22962963,,
号122 ,2,126,153.3,0.191780822,0.233333333,,
号123 ,2,128,155.7333333,0.194824962,0.237037037,,
号125 ,2,130,158.1666667,0.197869102,0.240740741,,
号126 ,2,132,160.6,0.200913242,0.244444444,,
号128 ,2,134,163.0333333,0.203957382,0.248148148,,
号129 ,2,136,165.4666667,0.207001522,0.251851852,,
号131 ,2,138,167.9,0.210045662,0.255555556,,
号132 ,2,140,170.3333333,0.213089802,0.259259259,,
号134 ,2,142,172.7666667,0.216133942,0.262962963,,
号135 ,2,144,175.2,0.219178082,0.266666667,,
号137 ,2,146,177.6333333,0.222222222,0.27037037,,
号138 ,2,148,180.0666667,0.225266362,0.274074074,,
号140 ,2,150,182.5,0.228310502,0.277777778,,
号141 ,2,152,184.9333333,0.231354642,0.281481481,,
号143 ,2,154,187.3666667,0.234398782,0.285185185,,
号144 ,2,156,189.8,0.237442922,0.288888889,,
号146 ,2,158,192.2333333,0.240487062,0.292592593,,
号147 ,2,160,194.6666667,0.243531202,0.296296296,,
号149 ,2,162,197.1,0.246575342,0.3,,
号150 ,2,164,199.5333333,0.249619482,0.303703704,,
号152 ,2,166,201.9666667,0.252663623,0.307407407,,
号153 ,2,168,204.4,0.255707763,0.311111111,,
号155 ,2,170,206.8333333,0.258751903,0.314814815,,
号156 ,2,172,209.2666667,0.261796043,0.318518519,,
号158 ,2,174,211.7,0.264840183,0.322222222,,
号159 ,2,176,214.1333333,0.267884323,0.325925926,,
号161 ,2,178,216.5666667,0.270928463,0.32962963,,
号162 ,2,180,219,0.273972603,0.333333333,,
号164 ,2,182,221.4333333,0.277016743,0.337037037,,
号165 ,2,184,223.8666667,0.280060883,0.340740741,,
号167 ,2,186,226.3,0.283105023,0.344444444,,
号168 ,2,188,228.7333333,0.286149163,0.348148148,,
号170 ,2,190,231.1666667,0.289193303,0.351851852,,
号171 ,2,192,233.6,0.292237443,0.355555556,,
号173 ,2,194,236.0333333,0.295281583,0.359259259,,
号174 ,2,196,238.4666667,0.298325723,0.362962963,,
号176 ,2,198,240.9,0.301369863,0.366666667,,
